Formula,Ag,As,Bi,Cu,Ge,In,Pb,S,Sb,Se,Sn,Te,Ti,V,k(W/Km),,,,,,,,,,
As2Te1.5Se1.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,0.0,0.0,0.37,,,,,,,,,,
As2Te2.3Se0.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,2.3,0.0,0.0,0.532,,,,,,,,,,
As2Te2.6Se0.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,2.6,0.0,0.0,0.619,,,,,,,,,,
As2Te2.8Se0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.8,0.0,0.0,0.657,,,,,,,,,,
As2Te2.9Se0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2.9,0.0,0.0,0.721,,,,,,,,,,
As2Te2Se,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.473,,,,,,,,,,
As2Te3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.854,,,,,,,,,,
Bi0.42Sb1.58Te3,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,1.58,0.0,0.0,3.0,0.0,0.0,0.934,,,,,,,,,,
Bi0.48Sb1.52Te3,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,3.0,0.0,0.0,1.258,,,,,,,,,,
Bi2.0S2.79Se0.21,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.79,0.0,0.21,0.0,0.0,0.0,0.0,0.716,,,,,,,,,,
Bi2.0S2.85Se0.15,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.85,0.0,0.15,0.0,0.0,0.0,0.0,0.77,,,,,,,,,,
Bi2.0S2.91Se0.09,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.91,0.0,0.09,0.0,0.0,0.0,0.0,0.815,,,,,,,,,,
Bi2.0S3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,,,,,,,,,,
Bi2Te3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.957,,,,,,,,,,
Cu1.55S,0.0,0.0,0.0,1.55,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.843,,,,,,,,,,
Cu1.5S,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.37,,,,,,,,,,
Cu1.6S,0.0,0.0,0.0,1.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.408,,,,,,,,,,
Cu1.7Se,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.35,,,,,,,,,,
Cu1.85Ag0.15SnSe3,0.15,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.984,,,,,,,,,,
Cu1.85Se,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.881,,,,,,,,,,
Cu1.875Ag0.125SnSe3,0.125,0.0,0.0,1.875,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.102,,,,,,,,,,
Cu1.8Se,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.063,,,,,,,,,,
Cu1.925Ag0.075SnSe3,0.075,0.0,0.0,1.925,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.61,,,,,,,,,,
Cu1.95In0.05Se,0.0,0.0,0.0,1.95,0.0,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.25,,,,,,,,,,
Cu1.95S0.5Se0.5,0.0,0.0,0.0,1.95,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.613,,,,,,,,,,
Cu1.975S0.5Se0.5,0.0,0.0,0.0,1.975,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.502,,,,,,,,,,
Cu1.97In0.03Se,0.0,0.0,0.0,1.97,0.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.862,,,,,,,,,,
Cu1.99In0.01Se,0.0,0.0,0.0,1.99,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.825,,,,,,,,,,
Cu1.99S0.5Se0.5,0.0,0.0,0.0,1.99,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.413,,,,,,,,,,
Cu1.9Ag0.1SnSe3,0.1,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.187,,,,,,,,,,
Cu12Sb4S13,0.0,0.0,0.0,12.0,0.0,0.0,0.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.492,,,,,,,,,,
Cu2.075Sn0.925S3,0.0,0.0,0.0,2.075,0.0,0.0,0.0,3.0,0.0,0.0,0.925,0.0,0.0,0.0,4.33,,,,,,,,,,
Cu2.1Se,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.688,,,,,,,,,,
Cu2.2Se,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.213,,,,,,,,,,
Cu2.2Sn0.8Sb0.2Se3.2,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.2,3.2,0.8,0.0,0.0,0.0,3.487,,,,,,,,,,
Cu2.5Sn0.5Sb0.5Se3.5,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.5,3.5,0.5,0.0,0.0,0.0,5.31,,,,,,,,,,
Cu2.82Ag0.18SbSe4,0.18,0.0,0.0,2.82,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.75,,,,,,,,,,
Cu2.88Ag0.12SbSe4,0.12,0.0,0.0,2.88,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,
Cu2.8Sn0.2Sb0.8Se3.8,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.8,3.8,0.2,0.0,0.0,0.0,5.74,,,,,,,,,,
Cu2.94Ag0.06SbSe4,0.06,0.0,0.0,2.94,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.23,,,,,,,,,,
Cu22Sn10S32,0.0,0.0,0.0,22.0,0.0,0.0,0.0,32.0,0.0,0.0,10.0,0.0,0.0,0.0,3.514,,,,,,,,,,
Cu22Sn9.25Sb0.75S32,0.0,0.0,0.0,22.0,0.0,0.0,0.0,32.0,0.75,0.0,9.25,0.0,0.0,0.0,2.86,,,,,,,,,,
Cu22Sn9SbS32,0.0,0.0,0.0,22.0,0.0,0.0,0.0,32.0,1.0,0.0,9.0,0.0,0.0,0.0,2.8,,,,,,,,,,
Cu26Ti2Sb3Ge3S32,0.0,0.0,0.0,26.0,3.0,0.0,0.0,32.0,3.0,0.0,0.0,0.0,2.0,0.0,1.995,,,,,,,,,,
Cu26Ti2Sb4Ge2S32,0.0,0.0,0.0,26.0,2.0,0.0,0.0,32.0,4.0,0.0,0.0,0.0,2.0,0.0,1.299,,,,,,,,,,
Cu26V2Ge3Sb3S32,0.0,0.0,0.0,26.0,3.0,0.0,0.0,32.0,3.0,0.0,0.0,0.0,0.0,2.0,1.692,,,,,,,,,,
Cu26V2Ge4Sb2S32,0.0,0.0,0.0,26.0,4.0,0.0,0.0,32.0,2.0,0.0,0.0,0.0,0.0,2.0,2.571,,,,,,,,,,
Cu26V2Ge5SbS32,0.0,0.0,0.0,26.0,5.0,0.0,0.0,32.0,1.0,0.0,0.0,0.0,0.0,2.0,3.648,,,,,,,,,,
Cu26V2Ge6S32,0.0,0.0,0.0,26.0,6.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,2.0,5.315,,,,,,,,,,
Cu2S0.5Se0.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.448,,,,,,,,,,
Cu2Se,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.323,,,,,,,,,,
Cu2Se0.5S0.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.189,,,,,,,,,,
Cu2Se0.7S0.3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3,0.0,0.7,0.0,0.0,0.0,0.0,0.875,,,,,,,,,,
Cu2Se0.88S0.12,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.12,0.0,0.88,0.0,0.0,0.0,0.0,0.608,,,,,,,,,,
Cu2Se0.92S0.08,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.08,0.0,0.92,0.0,0.0,0.0,0.0,0.73,,,,,,,,,,
Cu2Se0.94S0.06,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.06,0.0,0.94,0.0,0.0,0.0,0.0,0.788,,,,,,,,,,
Cu2Se0.96S0.04,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.04,0.0,0.96,0.0,0.0,0.0,0.0,0.872,,,,,,,,,,
Cu2Se0.98S0.02,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.02,0.0,0.98,0.0,0.0,0.0,0.0,0.902,,,,,,,,,,
Cu2Se0.9S0.1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.427,,,,,,,,,,
Cu2SnS3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.38,,,,,,,,,,
Cu2SnSe3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.826,,,,,,,,,,
Cu3.0SbSe4,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.75,,,,,,,,,,
Cu3Sb0.85Ge0.15S4,0.0,0.0,0.0,3.0,0.15,0.0,0.0,4.0,0.85,0.0,0.0,0.0,0.0,0.0,2.183,,,,,,,,,,
Cu3Sb0.90Ge0.10S4,0.0,0.0,0.0,3.0,0.1,0.0,0.0,4.0,0.9,0.0,0.0,0.0,0.0,0.0,3.995,,,,,,,,,,
Cu3Sb0.925Ge0.075S4,0.0,0.0,0.0,3.0,0.075,0.0,0.0,4.0,0.925,0.0,0.0,0.0,0.0,0.0,2.039,,,,,,,,,,
Cu3Sb0.92Ge0.08S4,0.0,0.0,0.0,3.0,0.08,0.0,0.0,4.0,0.92,0.0,0.0,0.0,0.0,0.0,3.882,,,,,,,,,,
Cu3Sb0.94Ge0.06S4,0.0,0.0,0.0,3.0,0.06,0.0,0.0,4.0,0.94,0.0,0.0,0.0,0.0,0.0,3.444,,,,,,,,,,
Cu3Sb0.95Ge0.05S4,0.0,0.0,0.0,3.0,0.05,0.0,0.0,4.0,0.95,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,
Cu3Sb0.975Ge0.025S4,0.0,0.0,0.0,3.0,0.025,0.0,0.0,4.0,0.975,0.0,0.0,0.0,0.0,0.0,1.918,,,,,,,,,,
Cu3Sb0.9875Ge0.0125S4,0.0,0.0,0.0,3.0,0.0125,0.0,0.0,4.0,0.9875,0.0,0.0,0.0,0.0,0.0,1.903,,,,,,,,,,
Cu3Sb0.98Ge0.02S4,0.0,0.0,0.0,3.0,0.02,0.0,0.0,4.0,0.98,0.0,0.0,0.0,0.0,0.0,3.428,,,,,,,,,,
Cu3Sb0.996In0.004Se4,0.0,0.0,0.0,3.0,0.0,0.004,0.0,0.0,0.996,4.0,0.0,0.0,0.0,0.0,2.522,,,,,,,,,,
Cu3Sb0.997In0.003Se4,0.0,0.0,0.0,3.0,0.0,0.003,0.0,0.0,0.997,4.0,0.0,0.0,0.0,0.0,2.48,,,,,,,,,,
Cu3Sb0.998In0.002Se4,0.0,0.0,0.0,3.0,0.0,0.002,0.0,0.0,0.998,4.0,0.0,0.0,0.0,0.0,2.403,,,,,,,,,,
Cu3Sb0.9Ge0.1S4,0.0,0.0,0.0,3.0,0.1,0.0,0.0,4.0,0.9,0.0,0.0,0.0,0.0,0.0,2.1,,,,,,,,,,
Cu3SbS4,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.865,,,,,,,,,,
Cu3SbSe4,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,3.385,,,,,,,,,,
Cu5.133Sn1.866S7,0.0,0.0,0.0,5.133,0.0,0.0,0.0,7.0,0.0,0.0,1.866,0.0,0.0,0.0,6.563,,,,,,,,,,
Cu5Sn2S7,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,5.513,,,,,,,,,,
Cu5Sn2Se7,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,5.28,,,,,,,,,,
Cu5SnSbSe6.3,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,6.3,1.0,0.0,0.0,0.0,2.741,,,,,,,,,,
Cu5SnSbSe6.58,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,6.58,1.0,0.0,0.0,0.0,4.171,,,,,,,,,,
